date,calories,gsr,heart-rate,skin-temp,steps
2015-06-28 17:33Z,1.2,0.000120952,38,89.6,0
2015-06-28 17:34Z,1.2,0.00011009,38,89.6,0
2015-06-28 17:35Z,1.2,0.000107679,38,89.6,0
2015-06-28 17:36Z,1.2,0.000105322,38,89.6,0
2015-06-28 17:37Z,1.2,0.000102447,38,89.6,0
2015-06-28 17:38Z,1.2,0.000103015,38,89.6,0
2015-06-28 17:39Z,1.2,0.000101881,38,88.7,0
2015-06-28 17:40Z,1.4,0.000101881,42,88.7,0
2015-06-28 17:41Z,1.2,0.000212717,37,88.7,0
2015-06-28 17:42Z,1.3,0.000424894,39,89.6,0
2015-06-28 17:43Z,1.2,0.000432008,39,89.6,0
2015-06-28 17:44Z,1.2,0.000434406,42,89.6,0
2015-06-28 17:45Z,1.2,0.000436817,43,89.6,0
2015-06-28 17:46Z,1.2,0.000436817,46,89.6,0
2015-06-28 17:47Z,1.2,0.000441679,42,89.6,0
2015-06-28 17:48Z,1.2,0.000451567,44,89.6,0
2015-06-28 17:49Z,1.2,0.000464239,42,89.6,0
2015-06-28 17:50Z,1.3,0.000466815,45,89.6,0
2015-06-28 17:51Z,1.2,0.000331214,40,88.7,0
2015-06-28 17:52Z,1.2,0.000240263,41,88.7,0
2015-06-28 17:53Z,1.3,0.000245642,41,88.7,0
2015-06-28 17:54Z,1.2,0.000227326,41,88.7,0
2015-06-28 17:55Z,1.2,9.58634e-05,42,88.7,0
2015-06-28 17:56Z,1.3,9.74685e-05,42,89.6,0
2015-06-28 17:57Z,1.2,9.58634e-05,44,89.6,0
2015-06-28 17:58Z,1.2,9.63954e-05,42,88.7,0
2015-06-28 17:59Z,1.2,9.58634e-05,43,88.7,0
2015-06-28 18:00Z,1.2,9.69305e-05,45,88.7,0
2015-06-28 18:01Z,1.3,0.000242937,41,89.6,0
2015-06-28 18:02Z,1.2,0.000274396,44,89.6,0
2015-06-28 18:03Z,1.2,0.000296505,42,89.6,0
2015-06-28 18:04Z,1.2,0.000315119,44,89.6,0
2015-06-28 18:05Z,1.2,0.000323961,41,89.6,0
2015-06-28 18:06Z,1.4,0.000333052,42,89.6,0
2015-06-28 18:07Z,1.4,0.000344298,50,89.6,0
2015-06-28 18:08Z,1.2,0.00048795,45,89.6,0
2015-06-28 18:09Z,1.3,0.000592256,44,89.6,0
2015-06-28 18:10Z,1.4,0.000639975,48,89.6,0
2015-06-28 18:11Z,1.2,0.00057609,45,90.5,0
2015-06-28 18:12Z,1.2,0.000639975,45,90.5,0
2015-06-28 18:13Z,1.2,0.000672663,45,90.5,0
2015-06-28 18:14Z,1.2,0.000691539,42,90.5,0
2015-06-28 18:15Z,1.3,0.000710944,45,90.5,0
2015-06-28 18:16Z,1.3,0.000730894,43,90.5,0
2015-06-28 18:17Z,1.3,9.07015e-05,44,90.5,0
2015-06-28 18:18Z,1.2,8.92078e-05,45,90.5,0
2015-06-28 18:19Z,1.2,8.92078e-05,45,89.6,0
2015-06-28 18:20Z,1.2,8.87154e-05,45,89.6,0
2015-06-28 18:21Z,1.2,8.82258e-05,47,89.6,0
2015-06-28 18:22Z,1.2,8.82258e-05,43,89.6,0
2015-06-28 18:23Z,1.2,8.87154e-05,41,89.6,0
2015-06-28 18:24Z,1.2,8.87154e-05,43,89.6,0
2015-06-28 18:25Z,1.2,8.82258e-05,44,89.6,0
2015-06-28 18:26Z,1.3,8.77388e-05,43,88.7,0
2015-06-28 18:27Z,1.2,8.87154e-05,45,88.7,0
2015-06-28 18:28Z,1.2,8.77388e-05,47,88.7,0
2015-06-28 18:29Z,1.2,8.87154e-05,46,88.7,0
2015-06-28 18:30Z,1.2,8.82258e-05,48,88.7,0
2015-06-28 18:31Z,1.5,8.72545e-05,48,88.7,0
2015-06-28 18:32Z,1.3,8.92078e-05,51,88.7,0
2015-06-28 18:33Z,1.2,9.17111e-05,43,88.7,0
2015-06-28 18:34Z,1.2,9.22202e-05,44,88.7,0
2015-06-28 18:35Z,1.5,9.32467e-05,48,89.6,0
2015-06-28 18:36Z,1.2,0.000138135,44,89.6,0
2015-06-28 18:37Z,1.2,0.000233705,44,90.5,0
2015-06-28 18:38Z,1.2,0.000268388,43,90.5,0
2015-06-28 18:39Z,1.2,0.000291622,42,91.4,0
2015-06-28 18:40Z,1.2,0.000309929,43,91.4,0
2015-06-28 18:41Z,1.2,0.000331214,43,92.3,0
2015-06-28 18:42Z,1.3,0.000346209,42,92.3,0
2015-06-28 18:43Z,1.2,0.000355925,40,92.3,0
2015-06-28 18:44Z,1.5,0.000363893,47,93.2,0
2015-06-28 18:45Z,1.2,0.000474632,44,93.2,0
2015-06-28 18:46Z,1.2,0.00057609,44,93.2,0
2015-06-28 18:47Z,1.2,0.000608876,43,93.2,0
2015-06-28 18:48Z,1.2,0.000636442,43,92.3,0
2015-06-28 18:49Z,1.2,0.00065069,43,92.3,0
2015-06-28 18:50Z,1.2,0.00068015,43,92.3,0
2015-06-28 18:51Z,1.2,0.000747257,43,92.3,0
2015-06-28 18:52Z,1.2,0.000763986,43,92.3,0
2015-06-28 18:53Z,1.3,0.000785424,43,92.3,0
2015-06-28 18:54Z,1.2,0.000794167,43,92.3,0
2015-06-28 18:55Z,1.2,0.000811946,44,92.3,0
2015-06-28 18:56Z,1.2,0.000820984,43,91.4,0
2015-06-28 18:57Z,1.2,0.000839363,44,91.4,0
2015-06-28 18:58Z,1.2,0.000862917,43,91.4,0
2015-06-28 18:59Z,1.2,0.000882235,45,91.4,0
2015-06-28 19:00Z,1.2,0.000901986,43,91.4,0
2015-06-28 19:01Z,1.2,0.000917088,42,91.4,0
2015-06-28 19:02Z,1.2,0.000932444,42,91.4,0
2015-06-28 19:03Z,1.2,0.00100201,43,91.4,0
2015-06-28 19:04Z,1.3,0.00107082,43,91.4,0
2015-06-28 19:05Z,1.2,0.00110087,43,91.4,0
2015-06-28 19:06Z,1.2,0.00112552,42,91.4,0
2015-06-28 19:07Z,1.2,0.00119617,42,91.4,0
2015-06-28 19:08Z,1.2,0.0012162,42,91.4,0
2015-06-28 19:09Z,1.2,0.00125033,42,90.5,0
2015-06-28 19:10Z,1.2,0.00127127,43,90.5,0
2015-06-28 19:11Z,1.2,0.00132149,43,90.5,0
2015-06-28 19:12Z,1.2,0.00135107,44,90.5,0
2015-06-28 19:13Z,1.2,0.00163988,43,90.5,0
2015-06-28 19:14Z,1.3,0.00167659,43,90.5,0
2015-06-28 19:15Z,1.2,0.00164898,43,90.5,0
2015-06-28 19:16Z,1.2,0.00163988,43,90.5,0
2015-06-28 19:17Z,1.2,0.0016859,44,90.5,0
2015-06-28 19:18Z,1.5,0.0017525,46,90.5,0
2015-06-28 19:19Z,1.3,0.00105319,41,90.5,0
2015-06-28 19:20Z,1.2,0.00101316,41,90.5,0
2015-06-28 19:21Z,1.3,0.00101879,42,90.5,0
2015-06-28 19:22Z,1.2,0.00138899,42,90.5,0
2015-06-28 19:23Z,1.2,0.00155158,43,90.5,0
2015-06-28 19:24Z,1.2,0.00171413,43,90.5,0
2015-06-28 19:25Z,1.2,0.00183184,43,90.5,0
2015-06-28 19:26Z,1.3,0.00183184,43,90.5,0
2015-06-28 19:27Z,1.2,0.00192541,42,90.5,0
2015-06-28 19:28Z,1.2,0.00190421,42,90.5,0
2015-06-28 19:29Z,1.2,0.00195765,41,90.5,0
2015-06-28 19:30Z,1.2,0.00192541,41,90.5,0
2015-06-28 19:31Z,1.2,0.00190421,41,90.5,0
2015-06-28 19:32Z,1.2,0.00206906,43,90.5,0
2015-06-28 19:33Z,1.2,0.00202375,41,89.6,0
2015-06-28 19:34Z,1.2,0.00212712,41,89.6,0
2015-06-28 19:35Z,1.3,0.00223577,42,89.6,0
2015-06-28 19:36Z,1.6,0.00234996,59,89.6,0
2015-06-28 19:37Z,1.2,0.0025393,51,89.6,0
2015-06-28 19:38Z,1.7,0.00687704,55,89.6,0
2015-06-28 19:39Z,1.2,0.000311649,42,89.6,0
2015-06-28 19:40Z,1.3,0.000277451,41,89.6,0
2015-06-28 19:41Z,1.2,0.000299805,39,89.6,0
2015-06-28 19:42Z,1.2,0.000303143,39,89.6,0
2015-06-28 19:43Z,1.2,0.000320395,39,88.7,0
2015-06-28 19:44Z,1.3,0.000316868,44,88.7,0
2015-06-28 19:45Z,1.2,0.000103015,40,88.7,0
2015-06-28 19:46Z,1.2,0.000103587,41,88.7,0
2015-06-28 19:47Z,1.2,0.000117651,43,88.7,0
2015-06-28 19:48Z,1.2,0.000144389,39,89.6,0
2015-06-28 19:49Z,1.2,0.000156023,42,89.6,0
2015-06-28 19:50Z,1.2,0.000156023,42,89.6,0
2015-06-28 19:51Z,1.2,0.000172368,42,89.6,0
2015-06-28 19:52Z,1.4,0.000174287,42,89.6,0
2015-06-28 19:53Z,1.2,0.000695377,39,89.6,0
2015-06-28 19:54Z,1.2,0.000699236,46,89.6,0
2015-06-28 19:55Z,1.5,0.000703117,49,89.6,0
2015-06-28 19:56Z,1.3,0.00115072,44,89.6,0
2015-06-28 19:57Z,1.2,0.000598849,40,89.6,0
2015-06-28 19:58Z,1.2,0.000747257,42,89.6,0
2015-06-28 19:59Z,1.2,0.000844022,40,89.6,0
2015-06-28 20:00Z,1.2,0.000897007,42,90.5,0
2015-06-28 20:01Z,1.2,0.000927297,41,90.5,0
2015-06-28 20:02Z,1.2,0.00096393,39,90.5,0
2015-06-28 20:03Z,1.3,0.000927297,41,90.5,0
2015-06-28 20:04Z,1.2,0.000912026,41,90.5,0
2015-06-28 20:05Z,1.2,0.000927297,42,90.5,0
2015-06-28 20:06Z,1.4,0.00097466,44,90.5,0
2015-06-28 20:07Z,1.2,0.000585736,41,90.5,0
2015-06-28 20:08Z,1.3,0.000352006,41,90.5,0
2015-06-28 20:09Z,1.2,0.000507227,39,90.5,0
2015-06-28 20:10Z,1.2,0.000755575,41,90.5,0
2015-06-28 20:11Z,1.3,0.000825541,41,90.5,0
2015-06-28 20:12Z,1.2,0.000867707,39,90.5,0
2015-06-28 20:13Z,1.2,0.000887132,40,90.5,0
2015-06-28 20:14Z,1.2,0.000927297,41,90.5,0
2015-06-28 20:15Z,1.2,0.00096393,40,91.4,0
2015-06-28 20:16Z,1.2,0.00096928,40,91.4,0
2015-06-28 20:17Z,1.2,0.00099648,39,91.4,0
2015-06-28 20:18Z,1.2,0.00102444,40,91.4,0
2015-06-28 20:19Z,1.2,0.00103585,39,91.4,0
2015-06-28 20:20Z,1.2,0.00105319,39,91.4,0
2015-06-28 20:21Z,1.3,0.00107082,41,91.4,0
2015-06-28 20:22Z,1.2,0.0010948,40,91.4,0
2015-06-28 20:23Z,1.2,0.00110698,39,91.4,0
2015-06-28 20:24Z,1.2,0.00112552,39,91.4,0
2015-06-28 20:25Z,1.2,0.00113805,39,91.4,0
2015-06-28 20:26Z,1.2,0.00114436,40,91.4,0
2015-06-28 20:27Z,1.2,0.0011571,39,91.4,0
2015-06-28 20:28Z,1.2,0.00116998,40,91.4,0
2015-06-28 20:29Z,1.2,0.00118957,40,91.4,0
2015-06-28 20:30Z,1.2,0.00118957,39,91.4,0
2015-06-28 20:31Z,1.3,0.00120281,40,92.3,0
2015-06-28 20:32Z,1.2,0.00117648,40,91.4,0
2015-06-28 20:33Z,1.2,0.00118301,39,91.4,0
2015-06-28 20:34Z,1.2,0.00119617,41,91.4,0
2015-06-28 20:35Z,1.2,0.00120281,40,91.4,0
2015-06-28 20:36Z,1.2,0.00122295,41,92.3,0
2015-06-28 20:37Z,1.2,0.00124343,39,92.3,0
2015-06-28 20:38Z,1.2,0.00123657,40,92.3,0
2015-06-28 20:39Z,1.2,0.00122974,40,92.3,0
2015-06-28 20:40Z,1.2,0.00124343,39,92.3,0
2015-06-28 20:41Z,1.2,0.00125727,39,92.3,0
2015-06-28 20:42Z,1.3,0.00125033,39,92.3,0
2015-06-28 20:43Z,1.2,0.00127127,41,92.3,0
2015-06-28 20:44Z,1.2,0.00127127,39,92.3,0
2015-06-28 20:45Z,1.2,0.00128542,40,92.3,0
2015-06-28 20:46Z,1.2,0.00128542,40,92.3,0
2015-06-28 20:47Z,1.2,0.00128542,39,92.3,0
2015-06-28 20:48Z,1.5,0.00129255,50,92.3,0
2015-06-28 20:49Z,1.7,0.00116352,65,92.3,0
2015-06-28 20:50Z,1.4,0.00172364,54,91.4,0
2015-06-28 20:51Z,1.4,0.000718858,49,91.4,0
2015-06-28 20:52Z,1.2,0.00113805,44,91.4,0
2015-06-28 20:53Z,1.3,0.00141224,42,91.4,0
2015-06-28 20:54Z,1.2,0.00145187,43,91.4,0
2015-06-28 20:55Z,1.2,0.00146803,42,90.5,0
2015-06-28 20:56Z,1.2,0.00149261,43,90.5,0
2015-06-28 20:57Z,1.2,0.0015009,43,90.5,0
2015-06-28 20:58Z,1.2,0.00152603,42,90.5,0
2015-06-28 20:59Z,1.2,0.00152603,41,90.5,0
2015-06-28 21:00Z,1.2,0.0015009,42,90.5,0
2015-06-28 21:01Z,1.2,0.00151761,41,90.5,0
2015-06-28 21:02Z,1.3,0.0015009,41,90.5,0
2015-06-28 21:03Z,1.2,0.0015345,42,90.5,0
2015-06-28 21:04Z,1.2,0.0015345,43,90.5,0
2015-06-28 21:05Z,1.2,0.00154302,43,90.5,0
2015-06-28 21:06Z,1.2,0.00155158,42,90.5,0
2015-06-28 21:07Z,1.2,0.00156019,42,90.5,0
2015-06-28 21:08Z,1.2,0.00155158,42,89.6,0
2015-06-28 21:09Z,1.2,0.00155158,42,89.6,0
2015-06-28 21:10Z,1.4,0.00156019,42,89.6,0
2015-06-28 21:11Z,1.2,0.00156885,46,89.6,0
2015-06-28 21:12Z,1.2,0.00163083,43,89.6,0
2015-06-28 21:13Z,1.2,0.00176223,42,89.6,0
2015-06-28 21:14Z,1.2,0.00180168,41,89.6,0
2015-06-28 21:15Z,1.2,0.00179173,41,89.6,0
2015-06-28 21:16Z,1.2,0.00182173,40,89.6,0
2015-06-28 21:17Z,1.2,0.00181168,40,89.6,0
2015-06-28 21:18Z,1.2,0.00184201,40,89.6,0
2015-06-28 21:19Z,1.4,0.00188325,41,89.6,0
2015-06-28 21:20Z,1.7,0.00164898,53,89.6,0
2015-06-28 21:21Z,1.4,0.000464239,55,88.7,0
2015-06-28 21:22Z,1.2,0.000932444,44,88.7,0
2015-06-28 21:23Z,1.2,0.00158631,42,89.6,0
2015-06-28 21:24Z,1.2,0.00174283,39,89.6,0
2015-06-28 21:25Z,1.2,0.00188325,39,90.5,0
2015-06-28 21:26Z,1.5,0.00201258,45,90.5,0
2015-06-28 21:27Z,1.4,0.00131419,47,90.5,0
2015-06-28 21:28Z,1.2,0.000189375,41,90.5,0
2015-06-28 21:29Z,1.2,0.000185228,41,90.5,0
2015-06-28 21:30Z,1.2,0.000177205,43,89.6,0
2015-06-28 21:31Z,1.2,0.000171417,42,89.6,0
2015-06-28 21:32Z,1.2,0.000160401,43,89.6,0
2015-06-28 21:33Z,1.2,0.000147622,43,89.6,0
2015-06-28 21:34Z,1.4,0.000135861,46,89.6,0
2015-06-28 21:35Z,1.2,0.000113179,41,89.6,0
2015-06-28 21:36Z,1.2,0.000107679,40,89.6,0
2015-06-28 21:37Z,1.2,0.000108878,40,89.6,0
2015-06-28 21:38Z,1.2,0.000126428,40,89.6,0
2015-06-28 21:39Z,1.3,0.000105906,42,89.6,0
2015-06-28 21:40Z,1.2,0.000104162,41,89.6,0
2015-06-28 21:41Z,1.5,0.000348131,50,90.5,0
2015-06-28 21:42Z,1.2,0.000629436,40,90.5,0
2015-06-28 21:43Z,1.2,0.000703117,39,90.5,0
2015-06-28 21:44Z,1.2,0.000768226,46,91.4,0
2015-06-28 21:45Z,1.2,0.000825541,49,91.4,0
2015-06-28 21:46Z,1.2,0.000872523,47,91.4,0
2015-06-28 21:47Z,1.2,0.000932444,45,91.4,0
2015-06-28 21:48Z,1.3,0.00095861,43,91.4,0
2015-06-28 21:49Z,1.2,0.00099648,43,91.4,0
2015-06-28 21:50Z,1.2,0.00101879,43,91.4,0
2015-06-28 21:51Z,1.2,0.00105319,44,91.4,0
2015-06-28 21:52Z,1.2,0.00110087,44,91.4,0
2015-06-28 21:53Z,1.2,0.00110087,47,91.4,0
2015-06-28 21:54Z,1.2,0.00111931,43,91.4,0
2015-06-28 21:55Z,1.2,0.00114436,43,91.4,0
2015-06-28 21:56Z,1.5,0.00117648,51,91.4,0
2015-06-28 21:57Z,1.2,0.000348131,41,91.4,0
2015-06-28 21:58Z,1.2,0.000108878,42,91.4,0
2015-06-28 21:59Z,1.2,0.000103015,40,90.5,0
2015-06-28 22:00Z,1.2,0.00010076,42,90.5,0
2015-06-28 22:01Z,1.2,9.91004e-05,42,90.5,0
2015-06-28 22:02Z,1.3,9.96505e-05,41,90.5,0
2015-06-28 22:03Z,1.4,9.80094e-05,41,89.6,0
2015-06-28 22:04Z,1.2,9.74685e-05,41,89.6,0
2015-06-28 22:05Z,1.2,0.000350063,40,89.6,0
2015-06-28 22:06Z,1.2,0.000427252,41,89.6,0
2015-06-28 22:07Z,1.3,0.000490659,40,90.5,0
2015-06-28 22:08Z,1.2,0.00054507,40,90.5,0
2015-06-28 22:09Z,1.5,0.000585736,44,90.5,0
2015-06-28 22:10Z,1.2,0.000427252,45,90.5,0
2015-06-28 22:11Z,1.2,0.000527265,44,90.5,0
2015-06-28 22:12Z,1.2,0.000563475,46,90.5,0
2015-06-28 22:13Z,1.3,0.000595543,60,90.5,0
2015-06-28 22:14Z,1.3,0.000615653,56,90.5,0
2015-06-28 22:15Z,1.3,0.00051572,44,90.5,0
2015-06-28 22:16Z,1.3,0.000548095,44,90.5,0
2015-06-28 22:17Z,1.2,0.000518582,43,90.5,0
2015-06-28 22:18Z,1.2,0.000533135,43,90.5,0
2015-06-28 22:19Z,1.4,0.00054507,46,90.5,0
2015-06-28 22:20Z,1.5,0.000566603,50,90.5,0
2015-06-28 22:21Z,1.2,0.000309929,44,90.5,0
2015-06-28 22:22Z,1.2,0.000104162,44,89.6,0
2015-06-28 22:23Z,1.2,0.000102447,43,89.6,0
2015-06-28 22:24Z,1.2,0.000101319,42,89.6,0
2015-06-28 22:25Z,1.2,0.000103015,43,89.6,0
2015-06-28 22:26Z,1.4,9.96505e-05,45,89.6,0
2015-06-28 22:27Z,1.4,0.000180172,39,89.6,0
2015-06-28 22:28Z,1.5,0.000374104,53,89.6,0
2015-06-28 22:29Z,1.2,0.000361884,44,89.6,0
2015-06-28 22:30Z,1.2,0.000434406,42,89.6,0
2015-06-28 22:31Z,1.2,0.000449075,43,89.6,0
2015-06-28 22:32Z,1.3,0.000472012,43,89.6,0
2015-06-28 22:33Z,1.2,0.000493382,42,89.6,0
2015-06-28 22:34Z,1.2,0.000501643,42,89.6,0
2015-06-28 22:35Z,1.2,0.000507227,43,89.6,0
2015-06-28 22:36Z,1.2,0.000521461,43,89.6,0
2015-06-28 22:37Z,1.2,0.000530192,43,89.6,0
2015-06-28 22:38Z,1.2,0.000536094,43,88.7,0
2015-06-28 22:39Z,1.2,0.000539069,42,88.7,0
2015-06-28 22:40Z,1.2,0.000548095,43,88.7,0
2015-06-28 22:41Z,1.2,0.000554196,43,88.7,0
2015-06-28 22:42Z,1.3,0.000563475,43,88.7,0
2015-06-28 22:43Z,1.2,0.00057291,44,88.7,0
2015-06-28 22:44Z,1.2,0.00057291,44,88.7,0
2015-06-28 22:45Z,1.2,0.00057609,44,88.7,0
2015-06-28 22:46Z,1.2,0.000582503,45,88.7,0
2015-06-28 22:47Z,1.2,0.000598849,44,88.7,0
2015-06-28 22:48Z,1.2,0.000625962,44,88.7,0
2015-06-28 22:49Z,1.2,0.000639975,44,88.7,0
2015-06-28 22:50Z,1.2,0.000647099,45,88.7,0
2015-06-28 22:51Z,1.2,0.000639975,46,88.7,0
2015-06-28 22:52Z,1.2,0.00065069,44,88.7,0
2015-06-28 22:53Z,1.3,0.00066895,45,88.7,0
2015-06-28 22:54Z,1.2,0.000657934,44,88.7,0
2015-06-28 22:55Z,1.2,0.00066895,45,88.7,0
2015-06-28 22:56Z,1.2,0.000676396,45,88.7,0
2015-06-28 22:57Z,1.2,0.000687721,44,88.7,0
2015-06-28 22:58Z,1.2,0.000699236,44,87.8,0
2015-06-28 22:59Z,1.2,0.000699236,43,87.8,0
2015-06-28 23:00Z,1.2,0.000691539,44,87.8,0
2015-06-28 23:01Z,1.2,0.000691539,44,87.8,0
2015-06-28 23:02Z,1.2,0.000691539,44,87.8,0
2015-06-28 23:03Z,1.6,0.000699236,43,87.8,0
2015-06-28 23:04Z,1.4,0.000629436,58,87.8,0
2015-06-28 23:05Z,1.2,0.000672663,40,87.8,0
2015-06-28 23:06Z,1.2,0.000730894,39,87.8,0
2015-06-28 23:07Z,1.2,0.00077249,39,87.8,0
2015-06-28 23:08Z,1.2,0.000798575,40,88.7,0
2015-06-28 23:09Z,1.2,0.000839363,40,88.7,0
2015-06-28 23:10Z,1.2,0.000872523,39,89.6,0
2015-06-28 23:11Z,1.2,0.000917088,39,89.6,0
2015-06-28 23:12Z,1.3,0.000942823,39,89.6,0
2015-06-28 23:13Z,1.2,0.00096928,40,90.5,0
2015-06-28 23:14Z,1.2,0.000990979,39,90.5,0
2015-06-28 23:15Z,1.2,0.00101316,39,90.5,0
2015-06-28 23:16Z,1.2,0.00103013,41,90.5,0
2015-06-28 23:17Z,1.2,0.00105904,40,91.4,0
2015-06-28 23:18Z,1.2,0.0010948,39,91.4,0
2015-06-28 23:19Z,1.2,0.00112552,38,91.4,0
2015-06-28 23:20Z,1.5,0.00113177,45,91.4,0
2015-06-28 23:21Z,1.2,0.000825541,41,91.4,0
2015-06-28 23:22Z,1.2,0.000639975,44,91.4,0
2015-06-28 23:23Z,1.2,0.000665257,41,91.4,0
2015-06-28 23:24Z,1.2,0.00066895,41,90.5,0
2015-06-28 23:25Z,1.2,0.000665257,44,90.5,0
2015-06-28 23:26Z,1.6,0.000665257,47,90.5,0
2015-06-28 23:27Z,1.2,,,,0
2015-06-28 23:28Z,1.2,,,,0
2015-06-28 23:29Z,1.2,,,,0
2015-06-28 23:30Z,1.2,,,,0
2015-06-28 23:31Z,1.1,,82,,0
2015-06-28 23:32Z,1.2,0.000212717,50,89.6,0
2015-06-28 23:33Z,1.3,0.000542061,41,90.5,0
2015-06-28 23:34Z,1.3,0.000608876,43,90.5,0
2015-06-28 23:35Z,1.2,0.000585736,44,91.4,0
2015-06-28 23:36Z,1.2,0.000602172,42,91.4,0
2015-06-28 23:37Z,1.2,0.000636442,41,90.5,0
2015-06-28 23:38Z,1.2,0.000643527,41,90.5,0
2015-06-28 23:39Z,1.2,0.000657934,39,90.5,0
2015-06-28 23:40Z,1.2,0.00066895,40,90.5,0
2015-06-28 23:41Z,1.2,0.000661585,43,90.5,0
2015-06-28 23:42Z,1.3,0.000661585,42,90.5,0
2015-06-28 23:43Z,1.2,0.000676396,42,90.5,0
2015-06-28 23:44Z,1.2,0.000687721,43,90.5,0
2015-06-28 23:45Z,1.2,0.000683925,43,90.5,0
2015-06-28 23:46Z,1.4,0.000687721,47,89.6,0
2015-06-28 23:47Z,1.2,0.00065069,46,89.6,0
2015-06-28 23:48Z,1.2,0.000734951,44,90.5,0
2015-06-28 23:49Z,1.2,0.000811946,45,90.5,0
2015-06-28 23:50Z,1.2,0.000867707,43,90.5,0
2015-06-28 23:51Z,1.2,0.000922179,43,90.5,0
2015-06-28 23:52Z,1.4,0.000953318,45,91.4,0
2015-06-28 23:53Z,1.5,0.00097466,45,91.4,0
2015-06-28 23:54Z,1.2,0.000602172,41,91.4,0
2015-06-28 23:55Z,1.2,0.000542061,41,91.4,0
2015-06-28 23:56Z,1.2,0.000643527,44,91.4,0
2015-06-28 23:57Z,1.2,0.00068015,45,91.4,0
2015-06-28 23:58Z,1.2,0.000722848,43,91.4,0
2015-06-28 23:59Z,1.3,0.000751404,44,91.4,0
2015-06-29 00:00Z,1.3,0.000785424,41,91.4,0
2015-06-29 00:01Z,1.3,,,,0
2015-06-29 00:02Z,1.2,,,,0
2015-06-29 00:03Z,1.2,,,,0
2015-06-29 00:04Z,1.2,,,,0
2015-06-29 00:05Z,1.2,,,,0
2015-06-29 00:06Z,1.2,,,,0
2015-06-29 00:07Z,1.2,,,,0
2015-06-29 00:08Z,1.2,,,,0
2015-06-29 00:09Z,1.2,,83,,0
2015-06-29 00:10Z,1.5,0.00054507,64,92.3,0
2015-06-29 00:11Z,1.3,0.000363893,50,93.2,0
2015-06-29 00:12Z,1.2,0.000378268,49,93.2,0
2015-06-29 00:13Z,1.6,0.000395394,47,93.2,0
2015-06-29 00:14Z,1.2,9.91004e-05,47,93.2,0
2015-06-29 00:15Z,1.2,9.96505e-05,46,92.3,0
2015-06-29 00:16Z,1.4,9.96505e-05,47,91.4,0
2015-06-29 00:17Z,1.2,9.85534e-05,47,91.4,0
2015-06-29 00:18Z,1.2,0.000479915,47,91.4,0
2015-06-29 00:19Z,1.2,0.000602172,48,91.4,0
2015-06-29 00:20Z,1.2,0.00068015,45,91.4,0
2015-06-29 00:21Z,1.3,0.00073903,49,92.3,0
2015-06-29 00:22Z,1.2,0.000794167,50,92.3,0
2015-06-29 00:23Z,1.2,0.000844022,46,92.3,0
2015-06-29 00:24Z,1.2,0.000912026,48,92.3,0
2015-06-29 00:25Z,1.2,0.000948056,49,92.3,0
2015-06-29 00:26Z,1.2,0.00099648,49,92.3,0
2015-06-29 00:27Z,1.4,0.00104738,55,92.3,0
2015-06-29 00:28Z,1.2,0.000892056,41,92.3,0
2015-06-29 00:29Z,1.2,0.000830123,42,92.3,0
2015-06-29 00:30Z,1.2,0.000872523,40,92.3,0
2015-06-29 00:31Z,1.2,0.000901986,45,92.3,0
